symbol,sector,Ask,Ask.Size,Average.Daily.Volume,Bid,Bid.Size,Book.Value,Change,Change.From.200.day.Moving.Average,Change.From.50.day.Moving.Average,Change.From.52.week.High,Change.From.52.week.Low,Change.in.Percent,Currency,Days.High,Days.Low,Days.Range,Dividend.Pay.Date,Dividend.per.Share,Dividend.Yield,EBITDA,EPS,EPS.Estimate.Current.Year,EPS.Estimate.Next.Quarter,EPS.Estimate.Next.Year,Ex.Dividend.Date,Float.Shares,High.52.week,Last.Trade.Date,Last.Trade.Price.Only,Last.Trade.Size,Last.Trade.With.Time,Low.52.week,Market.Capitalization,Moving.Average.200.day,Moving.Average.50.day,Name,Open,PE.Ratio,PEG.Ratio,Percent.Change.From.200.day.Moving.Average,Percent.Change.From.50.day.Moving.Average,Percent.Change.From.52.week.High,Percent.Change.From.52.week.Low,Previous.Close,Price.to.Book,Price.to.EPS.Estimate.Current.Year,Price.to.EPS.Estimate.Next.Year,Price.to.Sales,Range.52.week,Revenue,Shares.Outstanding,Short.Ratio,Stock.Exchange,Target.Price.1.yr.,Volume,Return.Avg.50.day
AAAP,Health Care,38.21,100,119633,38.16,100,7.3,0.2,3.82,0.05,-2.72,14.7,0.0053,USD,38.39,37.98,37.98 - 38.39,NA,NA,NA,-7.89E+06,-0.67,-0.7,-0.16,0.31,NA,3.25E+07,40.92,5/2/17,38.2,100,12:08pm - <b>38.20</b>,23.5,1.68E+09,34.38,38.15,Advanced Accelerator Applicatio,37.99,NA,0,0.1112,0.0012,-0.0665,0.6255,38,5.21,NA,123.23,14.27,23.50 - 40.92,1.17E+08,4.40E+07,3.99,NMS,44.2,55794,0.00123808
AAL,Transportation,43.12,300,6971160,43.11,500,6.97,1.04,-1.57,0.29,-7.52,18.27,0.0247,USD,43.13,42.05,42.05 - 43.13,5/30/17,0.4,0.94,7.16E+09,4.17,4.64,1.56,5.34,2/9/17,4.46E+08,50.64,5/2/17,43.12,100,12:09pm - <b>43.12</b>,24.85,2.14E+10,44.69,42.83,"American Airlines Group, Inc.",42.06,10.34,3.25,-0.0352,0.0068,-0.1485,0.7352,42.08,6.03,9.29,8.07,0.52,24.85 - 50.64,4.04E+10,4.96E+08,4.49,NMS,53.13,4057054,-0.001758505
AAME,Finance,3.8,200,2718,3.7,1100,5.16,-0.15,-0.16,-0.14,-0.95,0.64,-0.039,USD,3.75,3.65,3.65 - 3.75,4/24/17,0.02,0.51,6.29E+06,0.11,NaN,0,NA,4/11/17,5.83E+06,4.65,5/2/17,3.7,100,10:53am - <b>3.70</b>,3.06,7.56E+07,3.86,3.84,Atlantic American Corporation,3.65,33.94,0,-0.0424,-0.0358,-0.2043,0.2092,3.85,0.75,NA,NA,0.47,3.06 - 4.65,1.66E+08,2.04E+07,1.23,NGM,NA,4696,9.32E-04
AAOI,Technology,47.73,100,2033430,47.67,300,12.36,-2.45,13.59,-1.46,-12.51,39.6,-0.0489,USD,50.3,47.16,47.16 - 50.30,NA,NA,NA,3.72E+07,1.76,3.9,0.96,4.17,NA,1.69E+07,60.19,5/2/17,47.68,100,12:09pm - <b>47.68</b>,8.08,8.91E+08,34.09,49.14,"Applied Optoelectronics, Inc.",49.98,27.09,0.72,0.3987,-0.0298,-0.2078,4.901,50.13,4.06,12.23,11.43,3.59,8.08 - 60.19,260710000,1.87E+07,1.93,NGM,63.33,1396182,0.007925627
AAON,Capital Goods,37.65,200,161241,37.55,600,3.91,0.15,4.18,2.02,-0.15,12.27,0.004,USD,37.7,37.35,37.35 - 37.70,12/23/16,0.26,0.71,9.30E+07,1,1.1,0.29,1.4,11/30/16,4.10E+07,37.75,5/2/17,37.6,200,12:07pm - <b>37.60</b>,25.33,1.98E+09,33.42,35.58,"AAON, Inc.",37.45,37.6,2.83,0.1252,0.0569,-0.004,0.4847,37.45,9.58,34.18,26.86,5.13,25.33 - 37.75,3.84E+08,5.26E+07,9.66,NMS,34,30805,0.00117724
AAPL,Technology,147.79,400,23464600,147.77,800,25.19,1.2,21.76,5.45,-0.31,58.31,0.0082,USD,148.09,146.98,146.98 - 148.09,2/16/17,2.28,1.59,6.98E+10,8.33,8.95,1.62,10.28,2/9/17,5.19E+09,148.09,5/2/17,147.78,200,12:09pm - <b>147.78</b>,89.47,7.75E+11,126.02,142.33,Apple Inc.,147.54,17.74,1.77,0.1727,0.0383,-0.0021,0.6517,146.58,5.82,16.51,14.38,3.53,89.47 - 148.09,2.18E+11,5.25E+09,2.33,NMS,148.96,4197830,0.001212375
AAWW,Transportation,57.95,300,175379,57.85,300,60.65,0.05,6.34,3.04,-2.15,23.73,9.00E-04,USD,59,57.78,57.78 - 59.00,NA,NA,NA,3.69E+08,1.66,4.69,0.96,5.16,NA,2.45E+07,60.1,5/2/17,57.95,100,12:08pm - <b>57.95</b>,34.22,1.46E+09,51.61,54.91,Atlas Air Worldwide Holdings,58.1,34.99,1.28,0.1229,0.0554,-0.0358,0.6935,57.9,0.95,12.36,11.23,0.79,34.22 - 60.10,1.84E+09,2.51E+07,4.04,NMS,63.43,60809,0.001572283
AAXN,Capital Goods,24.78,2100,1170640,24.76,500,2.88,0.03,0.27,1.75,-5.37,7.6,0.0012,USD,24.82,24.61,24.61 - 24.82,NA,NA,NA,3.75E+07,0.32,0.34,0.08,0.77,NA,5.10E+07,30.15,5/2/17,24.78,100,12:09pm - <b>24.78</b>,17.18,1.30E+09,24.51,23.03,"Axon Enterprise, Inc.",24.66,77.44,2.42,0.0108,0.0758,-0.1781,0.4424,24.75,8.58,72.88,32.18,4.83,17.18 - 30.15,2.68E+08,5.23E+07,9.46,NMS,30.57,151298,-0.001451215
ABAX,Capital Goods,46.56,100,118754,46.45,200,11.812,0.665,-3.53,-1.603,-9.445,4.615,0.01451,USD,48.94,44.601,44.601 - 48.940,6/15/17,0.56,1.24,5.16E+07,1.437,1.25,0.32,1.53,2/27/17,2.16E+07,55.95,5/2/17,46.505,100,12:08pm - <b>46.505</b>,41.89,1.05E+09,50.035,48.108,"ABAXIS, Inc.",45.74,32.363,5.79,-0.07055,-0.03332,-0.16881,0.11017,45.84,3.881,37.204,30.395,4.547,41.890 - 55.950,2.27E+08,2.25E+07,22.58,NMS,52.33,33923,-0.001513207
ABCD,Consumer Services,4.96,400,36797,4.93,200,-1.33,0,-0.05,0.01,-0.94,0.95,0,USD,4.96,4.92,4.92 - 4.96,NA,NA,NA,2.55E+07,0.22,-0.23,0,-0.16,NA,1.37E+07,5.86,5/2/17,4.92,100,11:34am - <b>4.92</b>,3.97,2.27E+08,4.97,4.91,"Cambium Learning Group, Inc.",4.91,22.36,0,-0.0097,0.0022,-0.1597,0.2393,4.92,NA,NA,NA,1.49,3.97 - 5.86,1.52E+08,4.62E+07,1.63,NCM,2,3642,9.10E-04
ABCO,Consumer Services,50.25,100,607698,50.2,200,12.864,-0.575,8.842,3.506,-1.45,25.375,-0.01132,USD,50.925,50.05,50.050 - 50.925,NA,NA,NA,1.24E+08,2.23,1.91,0.45,2.13,NA,3.76E+07,51.675,5/2/17,50.225,300,12:18pm - <b>50.225</b>,24.85,2.02E+09,41.383,46.719,The Advisory Board Company,50.85,22.522,1.84,0.21367,0.07505,-0.02806,1.02113,50.8,3.949,26.296,23.58,2.544,24.850 - 51.675,8.03E+08,4.02E+07,3.38,NMS,47.54,155843,0.001682645
ABIL,Finance,0.77,200,25995,0.76,400,0.535,-0.0499,-1.9758,-0.9181,-4.8999,1.00E-04,-0.061605,USD,0.8,0.76,0.7600 - 0.8000,NA,NA,NA,-3.63E+06,-0.187,-0.12,0.02,0.1,NA,7.81E+06,5.66,5/2/17,0.7601,1400,11:44am - <b>0.7601</b>,0.76,1.92E+07,2.7359,1.6782,Ability Inc.,0.795,NA,0,-0.722179,-0.547066,-0.865707,1.32E-04,0.81,1.514,NA,7.601,1.2847,0.7600 - 5.6600,1.59E+07,2.53E+07,9.25,NCM,1.3,17780,-0.023846568
ABMD,Health Care,134.15,100,330243,134.05,100,9.61,0.53,17.52,9,-0.72,42.07,0.004,USD,134.82,133.7,133.70 - 134.82,NA,NA,NA,8.96E+07,1.07,1.18,0.4,1.78,NA,4.24E+07,134.82,5/2/17,134.1,200,12:07pm - <b>134.10</b>,92.03,5.82E+09,116.58,125.11,"ABIOMED, Inc.",134.3,125.44,3.58,0.1503,0.0719,-0.0053,0.4571,133.57,13.9,113.64,75.34,13.99,92.03 - 134.82,4.15E+08,4.34E+07,4.82,NMS,140.13,125607,0.002690544
ABTL,Technology,13.6,400,86590,13.59,300,10.86,0.15,0.09,1.1,-4.79,2.88,0.0112,USD,13.69,13.41,13.41 - 13.69,NA,NA,NA,1.41E+07,0.29,1.26,0.25,1.43,NA,9.28E+06,18.39,5/2/17,13.6,217,12:09pm - <b>13.60</b>,10.72,1.50E+08,13.51,12.5,Autobytel Inc.,13.59,46.9,0.42,0.0068,0.088,-0.2605,0.2687,13.45,1.24,10.79,9.51,0.95,10.72 - 18.39,1.57E+08,1.10E+07,1.61,NCM,21,28795,4.98E-04
ABUS,Health Care,3.4,1600,197010,3.35,3700,3.702,0.045,0.513,0.161,-1.505,1.045,0.01343,USD,3.425,3.35,3.350 - 3.425,NA,NA,NA,-6.72E+07,-7.24,-1.77,-0.45,-1.47,NA,3.48E+07,4.9,5/2/17,3.395,275,12:00pm - <b>3.395</b>,2.35,1.87E+08,2.882,3.234,Arbutus Biopharma Corporation,3.35,NA,0,0.17792,0.04969,-0.30714,0.44468,3.35,0.905,NA,NA,123.626,2.350 - 4.900,1.49E+06,5.50E+07,8.76,NMS,7.53,48264,0.00508835
ABY,Public Utilities,20.43,200,423857,20.4,400,18.287,-0.115,0.554,-0.441,-2.455,4.635,-0.0056,USD,20.695,20.37,20.370 - 20.695,3/15/17,1,4.8,6.76E+08,-0.048,0.48,0.05,0.73,3/2/17,9.68E+07,22.87,5/2/17,20.415,100,12:08pm - <b>20.415</b>,15.78,2050000000,19.861,20.856,Atlantica Yield plc,20.49,NA,0.13,0.02787,-0.02113,-0.10735,0.29373,20.53,1.123,42.531,27.966,2.103,15.780 - 22.870,9.78E+08,1.00E+08,4.91,NMS,22.29,78695,-2.82E-06
ACAD,Health Care,33.43,200,1768080,33.4,200,4.27,-0.99,2,-1.01,-9.07,12.74,-0.0288,USD,34.45,33.3,33.30 - 34.45,NA,NA,NA,-2.71E+08,-2.34,-2.77,-0.72,-1.9,NA,9.52E+07,42.49,5/2/17,33.42,100,12:08pm - <b>33.42</b>,20.68,4060000000,31.42,34.43,ACADIA Pharmaceuticals Inc.,34.34,NA,-0.8,0.0638,-0.0294,-0.2135,0.6161,34.41,8.06,NA,NA,241.05,20.68 - 42.49,1.73E+07,1.21E+08,10.1,NMS,43.55,732645,-0.002449526
ACET,Health Care,16.02,400,324313,15.99,200,13.16,0.11,-1.86,0.77,-9.99,1.68,0.0069,USD,16.04,15.86,15.86 - 16.04,3/24/17,0.26,1.64,6.14E+07,0.71,1.5,0.53,1.92,3/8/17,2.91E+07,25.98,5/2/17,15.99,100,12:06pm - <b>15.99</b>,14.31,4.82E+08,17.85,15.22,Aceto Corporation,15.89,22.65,1.07,-0.104,0.0503,-0.3845,0.117,15.88,1.21,10.66,8.33,0.87,14.31 - 25.98,5.47E+08,3.01E+07,11.56,NMS,21.33,45737,4.91E-04
ACGL,Finance,97,200,324425,96.95,100,50.23,-0.01,8.59,2.03,-2.13,29.48,-1.00E-04,USD,97.22,96.5,96.50 - 97.22,NA,NA,NA,1070000000,5.9,5.53,1.32,6.01,NA,1.22E+08,99.11,5/2/17,96.98,100,12:07pm - <b>96.98</b>,67.5,1.30E+10,88.39,94.95,Arch Capital Group Ltd.,96.93,16.44,1.52,0.0972,0.0214,-0.0215,0.4367,96.99,1.93,17.54,16.14,2.77,67.50 - 99.11,4.70E+09,1.34E+08,4.42,NMS,99.01,50336,6.38E-04
ACGLP,Finance,23.14,100,107089,23.12,200,52.89,0,0.75,0.47,-1.92,2.93,0,USD,23.14,23.08,23.08 - 23.14,3/31/17,NA,NA,6.34E+08,3.87,NA,0,NA,3/13/17,9.79E+07,25.05,5/2/17,23.13,100,12:09pm - <b>23.13</b>,20.2,4.16E+11,22.38,22.66,Arch Capital Group Ltd.,23.14,5.98,0,0.0335,0.0209,-0.0766,0.145,23.13,0.44,NA,NA,101.24,20.20 - 25.05,4110000000,1.80E+10,0,NMS,NA,14744,0.001078824
ACHC,Health Care,44.76,200,1651640,44.74,100,25.73,0.81,5.03,2,-18.92,12.21,0.0184,USD,44.87,44.09,44.09 - 44.87,NA,NA,NA,5.85E+08,0.17,2.44,0.66,2.83,NA,8.42E+07,63.67,5/2/17,44.75,129,12:08pm - <b>44.75</b>,32.54,3.93E+09,39.72,42.75,"Acadia Healthcare Company, Inc.",44.09,260.17,1.29,0.1267,0.0467,-0.2972,0.3752,43.94,1.71,18.34,15.81,1.34,32.54 - 63.67,2.87E+09,8.78E+07,13.9,NMS,51.53,575498,9.30E-04
ACHN,Health Care,3.6,500,1429470,3.59,3300,2.92,0.07,-0.78,-0.18,-6.46,0.45,0.0198,USD,3.69,3.54,3.54 - 3.69,NA,NA,NA,-6.39E+07,-0.45,-0.54,-0.14,-0.28,NA,9.14E+07,10.06,5/2/17,3.6,100,12:08pm - <b>3.60</b>,3.15,4.92E+08,4.38,3.78,"Achillion Pharmaceuticals, Inc.",3.57,NA,-0.37,-0.1778,-0.0486,-0.6421,0.1429,3.53,1.21,NA,NA,32.18,3.15 - 10.06,1.50E+07,1.37E+08,7.2,NMS,6.5,475680,-0.003808197
ACIA,Technology,45.86,100,1597030,45.77,100,11.44,-1.27,-17.25,-8.31,-82.93,18.75,-0.027,USD,47,45.36,45.36 - 47.00,NA,NA,NA,1.27E+08,3.22,3.3,0.75,3.76,NA,1.88E+07,128.73,5/2/17,45.8,200,12:08pm - <b>45.80</b>,27.05,1.76E+09,63.05,54.11,"Acacia Communications, Inc.",46.97,14.22,0.27,-0.2736,-0.1536,-0.6442,0.6932,47.07,4.11,13.88,12.18,3.78,27.05 - 128.73,4.78E+08,3.84E+07,4.34,NMS,78.57,592883,-0.005994483
ACIU,Health Care,9.13,300,46377,9.11,100,2.51,0.2,-3.27,-1.43,-10.84,0.22,0.0224,USD,9.24,9.1,9.10 - 9.24,NA,NA,NA,-1.02E+07,-0.14,-0.24,-0.17,-0.58,NA,2.15E+07,19.97,5/2/17,9.13,100,12:04pm - <b>9.13</b>,8.91,519700000,12.4,10.56,AC Immune SA,9.1,NA,0,-0.2636,-0.1353,-0.5428,0.0247,8.93,3.55,NA,NA,21.85,8.91 - 19.97,2.33E+07,5.69E+07,13.23,NGM,21.35,29750,-0.005278474
ACIW,Technology,21.57,100,540990,21.56,200,6.43,-0.25,1.78,0,-1.39,6.46,-0.0115,USD,21.89,21.51,21.51 - 21.89,NA,NA,NA,1.19E+08,1.09,0.43,-0.09,0.58,NA,1.15E+08,22.95,5/2/17,21.57,100,12:08pm - <b>21.57</b>,15.11,2.53E+09,19.79,21.57,"ACI Worldwide, Inc.",21.85,19.79,-3.53,0.09,0,-0.0603,0.4275,21.82,3.39,50.16,37.19,2.55,15.11 - 22.95,1.01E+09,1.17E+08,12.39,NMS,24.33,111376,0.002075801
ACLS,Technology,19.65,500,221431,19.55,500,6.82,-0.4,4.3,2.02,-0.5,10.68,-0.02,USD,20.1,19.5,19.50 - 20.10,NA,NA,NA,2.12E+07,0.36,0.97,0.26,1.48,NA,2.67E+07,20.1,5/2/17,19.6,100,12:07pm - <b>19.60</b>,8.92,5.86E+08,15.3,17.58,"Axcelis Technologies, Inc.",19.95,54.44,1.03,0.2812,0.115,-0.0249,1.1973,20,2.93,20.21,13.24,2.24,8.92 - 20.10,266980000,2.99E+07,5.64,NMS,18.8,50700,0.004179959
ACOR,Health Care,16.45,900,1256300,16.4,600,14.76,-0.05,-4.78,-4.32,-16.55,1.15,-0.003,USD,16.65,16.15,16.15 - 16.65,NA,NA,NA,1.29E+07,-1.16,1.98,0.71,1.05,NA,3.62E+07,33,5/2/17,16.45,100,12:08pm - <b>16.45</b>,15.3,7.54E+08,21.23,20.77,"Acorda Therapeutics, Inc.",16.6,NA,0.29,-0.225,-0.2081,-0.5015,0.0752,16.5,1.12,8.31,15.67,1.44,15.30 - 33.00,523080000,4.58E+07,5.25,NMS,27,366752,-0.007831784
ACRX,Health Care,2.65,1900,203859,2.6,19600,-0.12,0,-0.27,-0.22,-1.43,0.25,0,USD,2.7,2.6,2.60 - 2.70,NA,NA,NA,-2.99E+07,-0.95,-1.04,-0.25,-0.71,NA,2.67E+07,4.08,5/2/17,2.65,100,12:03pm - <b>2.65</b>,2.4,1.20E+08,2.92,2.87,"AcelRx Pharmaceuticals, Inc.",2.7,NA,0,-0.0934,-0.0772,-0.3503,0.1042,2.65,NA,NA,NA,6.92,2.40 - 4.08,1.74E+07,4.53E+07,18.78,NGM,7.8,77984,-0.003150092
ACTA,Technology,14.15,1800,130803,14.1,400,10.942,0.075,0.381,0.116,-1.15,5.565,0.00534,USD,14.15,14,14.000 - 14.150,NA,NA,NA,-2.71E+07,1.91,-0.13,-0.05,0.07,NA,3.16E+07,15.275,5/2/17,14.125,100,12:08pm - <b>14.125</b>,8.56,4.93E+08,13.744,14.009,Actua Corporation,14.1,7.395,-6.2,0.02773,0.00831,-0.07529,0.65012,14.05,1.284,NA,201.786,4.491,8.560 - 15.275,1.09E+08,3.49E+07,9.23,NMS,16.67,81301,-8.87E-05
ACTG,Miscellaneous,5.25,1100,245598,5.2,2500,5.262,-0.125,-0.818,-0.138,-2.45,1.124,-0.02336,USD,5.4,5.2,5.200 - 5.400,11/30/15,0,0,3.98E+07,-1.08,0.5,0.12,0.69,11/4/15,4.49E+07,7.675,5/2/17,5.225,100,12:04pm - <b>5.225</b>,4.101,2.64E+08,6.043,5.363,Acacia Research Corporation,5.35,NA,0.53,-0.13539,-0.02571,-0.31922,0.27417,5.35,1.017,10.45,7.572,1.768,4.101 - 7.675,1.53E+08,5.05E+07,2.66,NMS,7.25,32077,-8.47E-04
ACXM,Technology,28.76,200,337697,28.74,100,9.31,-0.22,1.61,0.71,-1.65,9.64,-0.0076,USD,29.1,28.72,28.72 - 29.10,NA,0,0,9.10E+07,0.13,0.72,0.17,0.83,8/19/08,7.62E+07,30.4,5/2/17,28.75,100,12:08pm - <b>28.75</b>,19.11,2.24E+09,27.14,28.04,Acxiom Corporation,29.1,216.17,2.69,0.0595,0.0252,-0.0543,0.5044,28.97,3.11,39.93,34.64,2.56,19.11 - 30.40,8.80E+08,7.78E+07,4.58,NMS,32.25,89314,9.26E-05
ADAP,Health Care,5.35,300,249872,5.32,3.00E+03,2.35,-0.03,0.72,0.09,-6.26,1.57,-0.0056,USD,5.45,5.16,5.16 - 5.45,NA,NA,NA,-6.95E+07,-1.01,-0.92,-0.26,-0.89,NA,2.77E+07,11.59,5/2/17,5.33,100,12:07pm - <b>5.33</b>,3.76,3.77E+08,4.61,5.24,Adaptimmune Therapeutics plc,5.41,NA,0.15,0.1552,0.0166,-0.54,0.4176,5.36,2.28,NA,NA,26.73,3.76 - 11.59,1.42E+07,7.08E+07,1.53,NMS,14.33,125441,0.00585357
ADBE,Technology,135.54,200,2264700,135.51,100,15.33,0.42,20.87,6.5,-0.17,45.18,0.0031,USD,135.7,134.75,134.75 - 135.70,NA,0,0,1.98E+09,2.62,3.95,0.97,4.98,3/24/05,4.93E+08,135.7,5/2/17,135.53,100,12:08pm - <b>135.53</b>,90.35,6.71E+10,114.66,129.03,Adobe Systems Incorporated,135.54,51.75,2.12,0.1821,0.0504,-0.0013,0.5001,135.11,8.82,34.31,27.21,10.86,90.35 - 135.70,6.15E+09,4.95E+08,2.25,NMS,143.85,875707,0.002375224
ADES,Basic Industries,9.53,100,80470,9.49,300,3.458,-0.035,-0.022,0.069,-2.745,3.295,-0.00367,USD,9.57,9.45,9.450 - 9.570,NA,NA,NA,-1.30E+07,4.34,2.68,0,3.34,NA,1.64E+07,12.25,5/2/17,9.505,100,12:08pm - <b>9.505</b>,6.21,2.09E+08,9.527,9.436,"Advanced Emissions Solutions, I",9.56,2.19,0,-0.00232,0.00731,-0.22408,0.5306,9.54,2.759,NA,NA,4.151,6.210 - 12.250,5.06E+07,2.20E+07,5.57,NGM,18,11308,-0.004133918
ADI,Technology,75.83,600,3144570,75.82,100,17.16,-0.4,1.19,-4.27,-8.42,23.65,-0.0052,USD,76.49,75.51,75.51 - 76.49,3/7/17,1.8,2.36,1.37E+09,2.93,4,1.04,4.61,2/22/17,3.08E+08,84.24,5/2/17,75.82,100,12:09pm - <b>75.82</b>,52.17,2.34E+10,74.63,80.09,"Analog Devices, Inc.",76.48,25.86,1.11,0.0159,-0.0533,-0.1,0.4533,76.22,4.44,18.95,16.45,6.48,52.17 - 84.24,3.64E+09,3.09E+08,2.64,NMS,91.5,1558961,-0.00130505
ADMA,Health Care,4.39,100,25231,4.35,200,-0.35,-0.01,-0.78,-0.35,-3.65,0.08,-0.0023,USD,4.44,4.34,4.34 - 4.44,NA,NA,NA,-1.69E+07,-1.61,-1.08,-0.22,-0.74,NA,3.28E+06,8,5/2/17,4.35,100,11:34am - <b>4.35</b>,4.27,5.61E+07,5.13,4.7,ADMA Biologics Inc,4.39,NA,0,-0.1526,-0.0753,-0.4562,0.0187,4.36,NA,NA,NA,5.27,4.27 - 8.00,1.07E+07,1.29E+07,3.32,NCM,12.17,10012,-0.001717312
ADMP,Health Care,3.75,6400,441864,3.7,1400,1.15,-0.05,0.35,-0.58,-7.23,1.35,-0.0132,USD,3.83,3.6,3.60 - 3.83,NA,NA,NA,-2.24E+07,-1.19,-0.73,-0.18,-0.57,NA,1.87E+07,10.98,5/2/17,3.75,100,12:08pm - <b>3.75</b>,2.4,8.49E+07,3.4,4.33,Adamis Pharmaceuticals Corporat,3.8,NA,0,0.1043,-0.1334,-0.6585,0.5625,3.8,3.3,NA,NA,13.29,2.40 - 10.98,6.47E+06,2.26E+07,6.53,NCM,7.5,219179,0.001681846
ADP,Technology,104.33,200,1624110,104.31,300,8.5,0.35,5.26,1.2,-1.36,19.96,0.0034,USD,104.43,103.6,103.60 - 104.43,7/1/17,2.28,2.18,2.73E+09,3.72,3.66,0.7,4.05,3/8/17,4.48E+08,105.68,5/2/17,104.32,100,12:09pm - <b>104.32</b>,84.36,4.68E+10,99.06,103.12,"Automatic Data Processing, Inc.",104.19,28.03,2.47,0.0531,0.0117,-0.0128,0.2366,103.97,12.23,28.5,25.76,3.87,84.36 - 105.68,1.21E+10,4.49E+08,3.53,NMS,102.93,694004,0.001035601
ADRO,Health Care,9.55,300,365639,9.5,4500,3.345,-0.1857,-1.772,-0.4928,-6.9157,2.2543,-0.019144,USD,9.845,9.45,9.4500 - 9.8450,NA,NA,NA,-6.93E+07,-1.398,-1.61,-0.32,-1.56,NA,3.02E+07,16.43,5/2/17,9.5143,300,12:08pm - <b>9.5143</b>,7.26,6.47E+08,11.2863,10.0071,"Aduro Biotech, Inc.",9.65,NA,0.05,-0.157004,-0.049245,-0.420919,0.31051,9.7,2.8999,NA,NA,13.0144,7.2600 - 16.4300,5.07E+07,6.80E+07,21.23,NMS,18,78078,-0.002921224
ADSK,Technology,92.17,300,2109960,92.15,600,3.33,0.17,11.78,5.4,-0.56,42.33,0.0018,USD,92.35,91.29,91.29 - 92.35,NA,0,0,-2.80E+08,-2.61,-0.6,-0.15,1.16,3/22/05,2.09E+08,92.71,5/2/17,92.15,100,12:09pm - <b>92.15</b>,49.82,2.04E+10,80.37,86.75,"Autodesk, Inc.",92.22,NA,-6.41,0.1466,0.0622,-0.006,0.8497,91.98,27.62,NA,79.44,10,49.82 - 92.71,2030000000,2.21E+08,3.6,NMS,91.5,414222,0.00121517
ADTN,Public Utilities,20,400,335169,19.95,1500,9.96,-0.15,-0.97,-0.46,-3.8,2.9,-0.0075,USD,20.15,19.9,19.90 - 20.15,5/18/17,0.36,1.8,5.16E+07,0.76,0.69,0.22,0.86,1/31/17,4.82E+07,23.75,5/2/17,19.95,100,12:06pm - <b>19.95</b>,17.06,9.66E+08,20.92,20.41,"ADTRAN, Inc.",20.05,26.25,12.6,-0.0461,-0.0227,-0.16,0.1697,20.1,2.02,28.91,23.2,1.46,17.06 - 23.75,6.65E+08,4.84E+07,3.08,NMS,22.38,60004,-0.001559686
ADUS,Health Care,34.45,200,44225,34.3,300,13.91,0.55,1.69,2.22,-2.95,17.85,0.0162,USD,34.4,33.75,33.75 - 34.40,NA,NA,NA,3.12E+07,1.06,1.56,0.38,1.82,NA,7.06E+06,37.35,5/2/17,34.4,100,12:04pm - <b>34.40</b>,16.55,3.93E+08,32.71,32.18,Addus HomeCare Corporation,33.75,32.48,1.45,0.0517,0.0689,-0.079,1.0786,33.85,2.43,22.05,18.9,0.97,16.55 - 37.35,4.01E+08,1.14E+07,3.02,NMS,41.5,19497,-2.61E-04
ADVM,Health Care,2.85,900,240972,2.8,9300,5.157,-0.175,-0.11,0.132,-2.85,0.325,-0.05833,USD,3.031,2.8,2.800 - 3.031,NA,NA,NA,-4.76E+07,-3.138,-1.95,-0.31,-1.33,NA,2.87E+07,5.675,5/2/17,2.825,100,12:08pm - <b>2.825</b>,2.5,1.19E+08,2.935,2.693,"Adverum Biotechnologies, Inc.",3,NA,0,-0.03732,0.04907,-0.5022,0.13,3,0.582,NA,NA,86.728,2.500 - 5.675,1.46E+06,4.21E+07,2.87,NGM,6.25,126042,7.66E-04
ADXS,Health Care,8.66,100,585395,8.63,200,2.67,-0.15,0.05,0.45,-7.65,2.17,-0.0171,USD,8.8,8.55,8.55 - 8.80,NA,NA,NA,-7.31E+07,-1.91,-1.81,-0.43,-2.01,NA,3.01E+07,16.3,5/2/17,8.64,133,12:08pm - <b>8.64</b>,6.47,3.48E+08,8.59,8.19,"Advaxis, Inc.",8.8,NA,0,0.0053,0.0554,-0.4698,0.3354,8.79,3.29,NA,NA,47,6.47 - 16.30,7.54E+06,4.03E+07,12.06,NCM,21.2,101194,-4.33E-04
AEGN,Basic Industries,21.25,100,177023,21.2,200,17.52,-0.06,-1.58,-1.38,-5.44,4.06,-0.0028,USD,21.6,21.18,21.18 - 21.60,NA,NA,NA,1.13E+08,0.84,1.36,0.4,1.44,NA,3.16E+07,26.68,5/2/17,21.24,145,12:08pm - <b>21.24</b>,17.18,6.89E+08,22.82,22.62,Aegion Corp,21.39,25.29,3.13,-0.0692,-0.0612,-0.2039,0.2363,21.3,1.22,15.62,14.75,0.57,17.18 - 26.68,1.22E+09,3.25E+07,3.14,NMS,26.38,37677,2.44E-05
AEHR,Capital Goods,4.51,800,445048,4.47,300,0.08,-0.11,0.99,-0.15,-1.6,3.55,-0.0239,USD,4.55,4.4,4.40 - 4.55,NA,NA,NA,-6.91E+06,-0.54,-0.29,-0.01,0.01,NA,1.43E+07,6.1,5/2/17,4.5,100,12:07pm - <b>4.50</b>,0.95,7.55E+07,3.51,4.65,Aehr Test Systems,4.55,NA,-0.84,0.2829,-0.0326,-0.2623,3.7219,4.61,59.1,NA,450,5.61,0.95 - 6.10,1.38E+07,1.68E+07,2.53,NCM,7.5,95071,0.004102694
AEIS,Capital Goods,73.72,400,418905,73.46,200,9.87,-0.63,14.57,5.36,-2.3,40.27,-0.0085,USD,73.95,68.17,68.17 - 73.95,NA,NA,NA,1.35E+08,3.18,3.59,0.85,3.81,NA,3.95E+07,75.73,5/2/17,73.43,200,12:08pm - <b>73.43</b>,33.16,2.92E+09,58.86,68.07,"Advanced Energy Industries, Inc",70.9,23.08,0.44,0.2475,0.0787,-0.0304,1.2144,74.06,7.5,20.45,19.27,6.08,33.16 - 75.73,4.84E+08,3.97E+07,3.93,NMS,67.4,477205,0.003702334
