symbol,sector,Ask,Ask.Size,Average.Daily.Volume,Bid,Bid.Size,Book.Value,Change,Change.From.200.day.Moving.Average,Change.From.50.day.Moving.Average,Change.From.52.week.High,Change.From.52.week.Low,Change.in.Percent,Currency,Days.High,Days.Low,Days.Range,Dividend.Pay.Date,Dividend.per.Share,Dividend.Yield,EBITDA,EPS,EPS.Estimate.Current.Year,EPS.Estimate.Next.Quarter,EPS.Estimate.Next.Year,Ex.Dividend.Date,Float.Shares,High.52.week,Last.Trade.Date,Last.Trade.Price.Only,Last.Trade.Size,Last.Trade.With.Time,Low.52.week,Market.Capitalization,Moving.Average.200.day,Moving.Average.50.day,Name,Open,PE.Ratio,PEG.Ratio,Percent.Change.From.200.day.Moving.Average,Percent.Change.From.50.day.Moving.Average,Percent.Change.From.52.week.High,Percent.Change.From.52.week.Low,Previous.Close,Price.to.Book,Price.to.EPS.Estimate.Current.Year,Price.to.EPS.Estimate.Next.Year,Price.to.Sales,Range.52.week,Revenue,Shares.Outstanding,Short.Ratio,Stock.Exchange,Target.Price.1.yr.,Volume,Return.Avg.50.day
ATTU,Technology,7.86,100,65392,7.72,200,1.91,0.25,1.13,0.29,-2.64,3.7,0.0329,USD,7.89,7.52,7.52 - 7.89,NA,NA,NA,-2.16E+06,-0.51,0.17,0.05,0.28,NA,1.40E+07,10.49,5/2/17,7.85,100,12:06pm - <b>7.85</b>,4.15,1.33E+08,6.72,7.56,Attunity Ltd.,7.6,NA,1.28,0.1684,0.0384,-0.252,0.8916,7.6,3.98,46.18,28.04,2.27,4.15 - 10.49,5.66E+07,1.69E+07,4.66,NCM,11.17,25453,-0.002009505
ATVI,Technology,52.96,500,7766560,52.95,400,12.23,0.26,9.96,3.29,-0.43,19.41,0.0049,USD,53.39,52.77,52.77 - 53.39,5/10/17,0.3,0.57,2140000000,1.28,1.95,0.32,2.37,3/28/17,7.07E+08,53.39,5/2/17,52.96,100,12:08pm - <b>52.96</b>,33.55,3.98E+10,43,49.67,"Activision Blizzard, Inc",53.17,41.38,1.5,0.2315,0.0662,-0.0081,0.5785,52.7,4.31,27.16,22.35,6,33.55 - 53.39,6.61E+09,7.52E+08,2.58,NMS,52.99,1900666,0.00298785
AUDC,Public Utilities,6.5,100,137648,6.48,100,3.289,-0.0357,0.1547,-0.2531,-0.7557,2.8243,-0.005459,USD,6.64,6.43,6.4300 - 6.6400,NA,NA,NA,9.96E+06,0.513,0.33,0.08,0.39,NA,2.04E+07,7.26,5/2/17,6.5043,1100,12:01pm - <b>6.5043</b>,3.68,2.08E+08,6.3496,6.7574,AudioCodes Ltd.,6.48,12.6789,0.77,0.02437,-0.03746,-0.104091,0.767473,6.54,1.9884,19.71,16.6777,1.4116,3.6800 - 7.2600,1.48E+08,3.20E+07,0.15,NMS,7.5,17110,-0.001791476
AVAV,Capital Goods,28.6,100,154021,28.55,200,15.04,0.03,1.79,0.5,-3.87,6.41,0.0011,USD,28.64,28.5,28.50 - 28.64,NA,NA,NA,-7.01E+06,-0.55,0.21,-0.17,0.49,NA,2.03E+07,32.44,5/2/17,28.57,100,12:08pm - <b>28.57</b>,22.16,6.59E+08,26.78,28.07,"AeroVironment, Inc.",28.55,NA,-4.56,0.0668,0.0178,-0.1193,0.2893,28.54,1.9,136.05,58.31,2.94,22.16 - 32.44,2.24E+08,2.31E+07,14.06,NMS,26.8,36155,0.001321159
AVDL,Health Care,9.25,200,156402,9.2,100,1.02,-0.21,-0.99,-0.4,-6.22,0.62,-0.0222,USD,9.53,9.11,9.11 - 9.53,NA,NA,NA,4.62E+07,-1,-0.03,-0.02,0.28,NA,3.13E+07,15.45,5/2/17,9.23,100,12:08pm - <b>9.23</b>,8.61,3.82E+08,10.22,9.63,Avadel Pharmaceuticals plc,9.41,NA,-3.03,-0.0967,-0.042,-0.4026,0.072,9.44,9.28,NA,32.96,2.6,8.61 - 15.45,1.50E+08,4.14E+07,2.58,NGM,20.63,58940,-3.68E-04
AVEO,Health Care,0.61,100,515980,0.605,100,-0.025,0.0141,-0.0512,-0.0448,-0.5319,0.1191,0.023344,USD,0.6358,0.603,0.6030 - 0.6358,NA,NA,NA,-2.94E+07,-0.388,-0.39,-0.08,-0.35,NA,6.34E+07,1.15,5/2/17,0.6181,100,12:04pm - <b>0.6181</b>,0.499,4.69E+07,0.6693,0.6629,"AVEO Pharmaceuticals, Inc.",0.635,NA,0,-0.07655,-0.067521,-0.462522,0.238677,0.604,NA,NA,NA,18.2189,0.4990 - 1.1500,2.52E+06,7.59E+07,3.84,NCM,1.6,181470,-0.004569416
AVGO,Technology,223.58,200,2400980,223.52,200,47.55,2.27,28.82,4.57,-4.16,84.41,0.0103,USD,224.32,221.5,221.50 - 224.32,3/31/17,4.08,1.85,5.93E+09,-4.73,14.84,3.67,15.95,3/16/17,4.01E+08,227.75,5/2/17,223.59,100,12:09pm - <b>223.59</b>,139.18,8.97E+10,194.77,219.02,Broadcom Limited,223.46,NA,0.99,0.148,0.0209,-0.0183,0.6065,221.32,4.65,15.07,14.02,5.69,139.18 - 227.75,1.56E+10,4.01E+08,1.67,NMS,249.03,950216,0.00132779
AVGR,Health Care,0.5698,100,522948,0.5615,2.00E+03,0.178,-0.0108,-2.307,-0.7457,-13.3943,0.0657,-0.018734,USD,0.588,0.551,0.5510 - 0.5880,NA,NA,NA,-4.92E+07,-3.387,-1.71,-0.47,-1.18,NA,2.09E+07,13.96,5/2/17,0.5657,100,12:08pm - <b>0.5657</b>,0.5,1.35E+07,2.8727,1.3114,"Avinger, Inc.",0.5653,NA,0,-0.80308,-0.568619,-0.959477,0.1314,0.5765,3.2388,NA,NA,0.7175,0.5000 - 13.9600,1.92E+07,2.39E+07,6.93,NGM,2.8,187988,-0.020124855
AVHI,Capital Goods,18,100,51449,17.95,700,20.2,0.25,1.53,1.49,-1.12,7.13,0.0141,USD,18.3,17.81,17.81 - 18.30,NA,NA,NA,5.29E+07,5.72,0.84,0.31,0.98,NA,1.09E+07,19.12,5/2/17,18,100,12:08pm - <b>18.00</b>,10.87,4.04E+08,16.47,16.51,"A V Homes, Inc.",17.9,3.15,1.06,0.0927,0.0902,-0.0588,0.6559,17.75,0.88,21.43,18.37,0.49,10.87 - 19.12,8.11E+08,2.25E+07,22.48,NMS,18,36674,7.01E-04
AVID,Technology,5.5,200,480982,5.49,500,-6.63,-0.2,0.32,0.6,-4.28,1.51,-0.0351,USD,5.78,5.49,5.49 - 5.78,NA,NA,NA,9.15E+07,1.2,0.28,0.04,0.13,NA,3.29E+07,9.78,5/2/17,5.5,100,12:09pm - <b>5.50</b>,3.99,2.25E+08,5.18,4.9,AVID TECH INC,5.73,4.58,1.32,0.0627,0.1229,-0.4374,0.3784,5.7,NA,19.64,NA,0.45,3.99 - 9.78,5.12E+08,4.09E+07,11.69,NMS,6.5,122120,-3.27E-04
